,Goodreads_BookID,Genres,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,BookID
8956,15818164,"['Thriller', 'Fiction', 'Horror', 'Fantasy', 'Mystery', 'Adventure', 'Paranormal']",Thriller,Fiction,Horror,Fantasy,Mystery,Adventure,Paranormal,8990
8957,6922622,"['Biography', 'Nonfiction', 'Politics', 'Autobiography', 'Memoir', 'History', 'Biography Memoir']",Biography,Nonfiction,Politics,Autobiography,Memoir,History,Biography Memoir,9001
8958,13030356,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']",Mystery,Crime,Fiction,Thriller,Mystery Thriller,Suspense,Audiobook,8994
8959,8087,"['Fantasy', 'Fairy Tales', 'Fiction', 'Young Adult', 'Romance', 'Retellings', 'Science Fiction Fantasy']",Fantasy,Fairy Tales,Fiction,Young Adult,Romance,Retellings,Science Fiction Fantasy,8995
8960,292740,"['Fiction', 'Crime', 'True Crime', 'Thriller', 'Mystery', 'Abuse', 'Mystery Thriller']",Fiction,Crime,True Crime,Thriller,Mystery,Abuse,Mystery Thriller,8998
8961,402017,"['Cookbooks', 'Cooking', 'Nonfiction', 'Food', 'Reference', 'Empty', 'Empty']",Cookbooks,Cooking,Nonfiction,Food,Reference,Empty,Empty,9002
8962,86524,"['Biography', 'History', 'Nonfiction', 'Politics', 'American History', 'Presidents', 'Biography Memoir']",Biography,History,Nonfiction,Politics,American History,Presidents,Biography Memoir,9004
8963,43357,"['Mystery', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller', 'Crime', 'Adult']",Mystery,Fiction,Suspense,Thriller,Mystery Thriller,Crime,Adult,9000
8964,4339,"['Nonfiction', 'History', 'War', 'Memoir', 'Journalism', 'Military Fiction', 'Military History']",Nonfiction,History,War,Memoir,Journalism,Military Fiction,Military History,8996
8965,6457229,"['Horror', 'Young Adult', 'Fantasy', 'Historical Fiction', 'Fiction', 'Paranormal', 'Mystery']",Horror,Young Adult,Fantasy,Historical Fiction,Fiction,Paranormal,Mystery,9003
8966,2474084,"['Philosophy', 'Art', 'Nonfiction', 'Essays', 'Theory', 'Photography', 'Art History']",Philosophy,Art,Nonfiction,Essays,Theory,Photography,Art History,8999
8967,24903919,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']",Mystery,Fiction,Crime,Thriller,Mystery Thriller,Suspense,Audiobook,9005
8968,13580846,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'High School', 'Realistic Fiction', 'Audiobook']",Romance,Young Adult,Contemporary,Fiction,High School,Realistic Fiction,Audiobook,9009
8969,46182,"['Fiction', 'Classics', 'Poetry', 'Fantasy', 'American', 'Novels', 'Literature']",Fiction,Classics,Poetry,Fantasy,American,Novels,Literature,9008
8970,71869,"['Young Adult', 'Fiction', 'War', 'Dystopia', 'Australia', 'Adventure', 'Action']",Young Adult,Fiction,War,Dystopia,Australia,Adventure,Action,9010
8971,6344423,"['Young Adult', 'Paranormal', 'Fantasy', 'Vampires', 'Romance', 'Paranormal Romance', 'Werewolves']",Young Adult,Paranormal,Fantasy,Vampires,Romance,Paranormal Romance,Werewolves,9007
